                    DRAW OF Rs.1,500/- PRIZE BOND						

			 HELD AT HYDERABAD

Draw No. 77th									

Series:	Common Draw					Date: 15/02/2019				

--------------------------------------------------------------------------										

First Prize of Rs. 3,000,000/-										



051726

--------------------------------------------------------------------------										

Second Prize of Rs.1,000,000/- Each.										

										

265147  266899    395935
--------------------------------------------------------------------------										

										

Third Pprize										
705996	734154	764806	802566	825811	854156	894336	924743	950150	970182	999203
706750	735080	765479	802810	825818	854198	895162	925678	950346	970550	999641
707312	735149	765662	803274	826495	855003	895914	927047	950443	971712	999722
707330	735626	765761	804310	827481	856277	895929	927661	950981	971909	xxxxxx
707335	736135	766953	804589	828226	856499	896798	928081	951739	972183	xxxxxx
708197	736651	767089	804762	829109	857319	896909	928173	951865	972297	xxxxxx
708270	738069	767258	805238	830893	859828	897286	928428	952011	972377	xxxxxx
708412	738123	768542	805530	831287	862938	897328	928528	952043	972494	xxxxxx
708947	738558	768904	805538	831818	863253	897636	929143	952580	972497	xxxxxx
709044	739624	770134	805797	831973	863431	897688	929416	952862	972948	xxxxxx
710420	739678	770805	806224	832243	863590	898737	929498	953384	973144	xxxxxx
710710	740239	771333	806410	832877	863742	900003	929621	953715	973821	xxxxxx
